shosi_id,kokkai_link,opac_link
'026370559',http://iss.ndl.go.jp/books/R100000002-I026370559-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370559&adjacent=N&x=0&y=0&con_lng=jpn
'026370538',http://iss.ndl.go.jp/books/R100000002-I026370538-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370538&adjacent=N&x=0&y=0&con_lng=jpn
'026370628',http://iss.ndl.go.jp/books/R100000002-I026370628-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370628&adjacent=N&x=0&y=0&con_lng=jpn
'026370521',http://iss.ndl.go.jp/books/R100000002-I026370521-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370521&adjacent=N&x=0&y=0&con_lng=jpn
'026370551',http://iss.ndl.go.jp/books/R100000002-I026370551-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370551&adjacent=N&x=0&y=0&con_lng=jpn
'026370516',http://iss.ndl.go.jp/books/R100000002-I026370516-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370516&adjacent=N&x=0&y=0&con_lng=jpn
'026370598',http://iss.ndl.go.jp/books/R100000002-I026370598-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370598&adjacent=N&x=0&y=0&con_lng=jpn
'026370588',http://iss.ndl.go.jp/books/R100000002-I026370588-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370588&adjacent=N&x=0&y=0&con_lng=jpn
'023405956',http://iss.ndl.go.jp/books/R100000002-I023405956-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+023405956&adjacent=N&x=0&y=0&con_lng=jpn
'026370577',http://iss.ndl.go.jp/books/R100000002-I026370577-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370577&adjacent=N&x=0&y=0&con_lng=jpn
'026370561',http://iss.ndl.go.jp/books/R100000002-I026370561-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370561&adjacent=N&x=0&y=0&con_lng=jpn
'026370524',http://iss.ndl.go.jp/books/R100000002-I026370524-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370524&adjacent=N&x=0&y=0&con_lng=jpn
'026370604',http://iss.ndl.go.jp/books/R100000002-I026370604-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370604&adjacent=N&x=0&y=0&con_lng=jpn
'026370571',http://iss.ndl.go.jp/books/R100000002-I026370571-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370571&adjacent=N&x=0&y=0&con_lng=jpn
'026370584',http://iss.ndl.go.jp/books/R100000002-I026370584-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370584&adjacent=N&x=0&y=0&con_lng=jpn
'026370547',http://iss.ndl.go.jp/books/R100000002-I026370547-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370547&adjacent=N&x=0&y=0&con_lng=jpn
'026370560',http://iss.ndl.go.jp/books/R100000002-I026370560-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370560&adjacent=N&x=0&y=0&con_lng=jpn
'026370544',http://iss.ndl.go.jp/books/R100000002-I026370544-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370544&adjacent=N&x=0&y=0&con_lng=jpn
'026370550',http://iss.ndl.go.jp/books/R100000002-I026370550-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370550&adjacent=N&x=0&y=0&con_lng=jpn
'026370617',http://iss.ndl.go.jp/books/R100000002-I026370617-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370617&adjacent=N&x=0&y=0&con_lng=jpn
'026370597',http://iss.ndl.go.jp/books/R100000002-I026370597-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370597&adjacent=N&x=0&y=0&con_lng=jpn
'026370568',http://iss.ndl.go.jp/books/R100000002-I026370568-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370568&adjacent=N&x=0&y=0&con_lng=jpn
'026370529',http://iss.ndl.go.jp/books/R100000002-I026370529-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370529&adjacent=N&x=0&y=0&con_lng=jpn
'026370641',http://iss.ndl.go.jp/books/R100000002-I026370641-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370641&adjacent=N&x=0&y=0&con_lng=jpn
'026370545',http://iss.ndl.go.jp/books/R100000002-I026370545-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370545&adjacent=N&x=0&y=0&con_lng=jpn
'026370608',http://iss.ndl.go.jp/books/R100000002-I026370608-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370608&adjacent=N&x=0&y=0&con_lng=jpn
'026370539',http://iss.ndl.go.jp/books/R100000002-I026370539-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370539&adjacent=N&x=0&y=0&con_lng=jpn
'026370546',http://iss.ndl.go.jp/books/R100000002-I026370546-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370546&adjacent=N&x=0&y=0&con_lng=jpn
'026370552',http://iss.ndl.go.jp/books/R100000002-I026370552-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370552&adjacent=N&x=0&y=0&con_lng=jpn
'026370567',http://iss.ndl.go.jp/books/R100000002-I026370567-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370567&adjacent=N&x=0&y=0&con_lng=jpn
'026370549',http://iss.ndl.go.jp/books/R100000002-I026370549-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370549&adjacent=N&x=0&y=0&con_lng=jpn
'026370585',http://iss.ndl.go.jp/books/R100000002-I026370585-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370585&adjacent=N&x=0&y=0&con_lng=jpn
'026370594',http://iss.ndl.go.jp/books/R100000002-I026370594-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370594&adjacent=N&x=0&y=0&con_lng=jpn
'026370558',http://iss.ndl.go.jp/books/R100000002-I026370558-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370558&adjacent=N&x=0&y=0&con_lng=jpn
'026370610',http://iss.ndl.go.jp/books/R100000002-I026370610-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370610&adjacent=N&x=0&y=0&con_lng=jpn
'026370595',http://iss.ndl.go.jp/books/R100000002-I026370595-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370595&adjacent=N&x=0&y=0&con_lng=jpn
'026370596',http://iss.ndl.go.jp/books/R100000002-I026370596-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370596&adjacent=N&x=0&y=0&con_lng=jpn
'026370673',http://iss.ndl.go.jp/books/R100000002-I026370673-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370673&adjacent=N&x=0&y=0&con_lng=jpn
'026370563',http://iss.ndl.go.jp/books/R100000002-I026370563-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370563&adjacent=N&x=0&y=0&con_lng=jpn
'026370720',http://iss.ndl.go.jp/books/R100000002-I026370720-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370720&adjacent=N&x=0&y=0&con_lng=jpn
'026370691',http://iss.ndl.go.jp/books/R100000002-I026370691-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370691&adjacent=N&x=0&y=0&con_lng=jpn
'026370689',http://iss.ndl.go.jp/books/R100000002-I026370689-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370689&adjacent=N&x=0&y=0&con_lng=jpn
'026370701',http://iss.ndl.go.jp/books/R100000002-I026370701-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370701&adjacent=N&x=0&y=0&con_lng=jpn
'000004356324',http://iss.ndl.go.jp/books/R100000002-I000004356324-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+000004356324&adjacent=N&x=0&y=0&con_lng=jpn
'026370679',http://iss.ndl.go.jp/books/R100000002-I026370679-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370679&adjacent=N&x=0&y=0&con_lng=jpn
'026370672',http://iss.ndl.go.jp/books/R100000002-I026370672-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370672&adjacent=N&x=0&y=0&con_lng=jpn
'026370647',http://iss.ndl.go.jp/books/R100000002-I026370647-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370647&adjacent=N&x=0&y=0&con_lng=jpn
'026370674',http://iss.ndl.go.jp/books/R100000002-I026370674-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370674&adjacent=N&x=0&y=0&con_lng=jpn
'026370633',http://iss.ndl.go.jp/books/R100000002-I026370633-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370633&adjacent=N&x=0&y=0&con_lng=jpn
'026370655',http://iss.ndl.go.jp/books/R100000002-I026370655-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370655&adjacent=N&x=0&y=0&con_lng=jpn
'026370659',http://iss.ndl.go.jp/books/R100000002-I026370659-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370659&adjacent=N&x=0&y=0&con_lng=jpn
'026370656',http://iss.ndl.go.jp/books/R100000002-I026370656-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370656&adjacent=N&x=0&y=0&con_lng=jpn
'026370620',http://iss.ndl.go.jp/books/R100000002-I026370620-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370620&adjacent=N&x=0&y=0&con_lng=jpn
'026370650',http://iss.ndl.go.jp/books/R100000002-I026370650-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370650&adjacent=N&x=0&y=0&con_lng=jpn
'026370657',http://iss.ndl.go.jp/books/R100000002-I026370657-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370657&adjacent=N&x=0&y=0&con_lng=jpn
'026370652',http://iss.ndl.go.jp/books/R100000002-I026370652-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370652&adjacent=N&x=0&y=0&con_lng=jpn
'026370683',http://iss.ndl.go.jp/books/R100000002-I026370683-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370683&adjacent=N&x=0&y=0&con_lng=jpn
'026370642',http://iss.ndl.go.jp/books/R100000002-I026370642-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370642&adjacent=N&x=0&y=0&con_lng=jpn
'026370684',http://iss.ndl.go.jp/books/R100000002-I026370684-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370684&adjacent=N&x=0&y=0&con_lng=jpn
'026370621',http://iss.ndl.go.jp/books/R100000002-I026370621-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370621&adjacent=N&x=0&y=0&con_lng=jpn
'026370702',http://iss.ndl.go.jp/books/R100000002-I026370702-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370702&adjacent=N&x=0&y=0&con_lng=jpn
'026370654',http://iss.ndl.go.jp/books/R100000002-I026370654-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370654&adjacent=N&x=0&y=0&con_lng=jpn
'026370676',http://iss.ndl.go.jp/books/R100000002-I026370676-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370676&adjacent=N&x=0&y=0&con_lng=jpn
'026370667',http://iss.ndl.go.jp/books/R100000002-I026370667-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370667&adjacent=N&x=0&y=0&con_lng=jpn
'026370692',http://iss.ndl.go.jp/books/R100000002-I026370692-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370692&adjacent=N&x=0&y=0&con_lng=jpn
'026370661',http://iss.ndl.go.jp/books/R100000002-I026370661-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370661&adjacent=N&x=0&y=0&con_lng=jpn
'023407100',http://iss.ndl.go.jp/books/R100000002-I023407100-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+023407100&adjacent=N&x=0&y=0&con_lng=jpn
'026370632',http://iss.ndl.go.jp/books/R100000002-I026370632-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370632&adjacent=N&x=0&y=0&con_lng=jpn
'026370671',http://iss.ndl.go.jp/books/R100000002-I026370671-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370671&adjacent=N&x=0&y=0&con_lng=jpn
'026370680',http://iss.ndl.go.jp/books/R100000002-I026370680-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370680&adjacent=N&x=0&y=0&con_lng=jpn
'026370695',http://iss.ndl.go.jp/books/R100000002-I026370695-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370695&adjacent=N&x=0&y=0&con_lng=jpn
'026370635',http://iss.ndl.go.jp/books/R100000002-I026370635-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370635&adjacent=N&x=0&y=0&con_lng=jpn
'026370653',http://iss.ndl.go.jp/books/R100000002-I026370653-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370653&adjacent=N&x=0&y=0&con_lng=jpn
'026370668',http://iss.ndl.go.jp/books/R100000002-I026370668-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370668&adjacent=N&x=0&y=0&con_lng=jpn
'026370615',http://iss.ndl.go.jp/books/R100000002-I026370615-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370615&adjacent=N&x=0&y=0&con_lng=jpn
'026370616',http://iss.ndl.go.jp/books/R100000002-I026370616-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370616&adjacent=N&x=0&y=0&con_lng=jpn
'026370697',http://iss.ndl.go.jp/books/R100000002-I026370697-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370697&adjacent=N&x=0&y=0&con_lng=jpn
'026370589',http://iss.ndl.go.jp/books/R100000002-I026370589-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370589&adjacent=N&x=0&y=0&con_lng=jpn
'026370696',http://iss.ndl.go.jp/books/R100000002-I026370696-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370696&adjacent=N&x=0&y=0&con_lng=jpn
'026370685',http://iss.ndl.go.jp/books/R100000002-I026370685-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370685&adjacent=N&x=0&y=0&con_lng=jpn
'026370698',http://iss.ndl.go.jp/books/R100000002-I026370698-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370698&adjacent=N&x=0&y=0&con_lng=jpn
'026370677',http://iss.ndl.go.jp/books/R100000002-I026370677-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370677&adjacent=N&x=0&y=0&con_lng=jpn
'026370706',http://iss.ndl.go.jp/books/R100000002-I026370706-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370706&adjacent=N&x=0&y=0&con_lng=jpn
'026370678',http://iss.ndl.go.jp/books/R100000002-I026370678-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370678&adjacent=N&x=0&y=0&con_lng=jpn
'026370638',http://iss.ndl.go.jp/books/R100000002-I026370638-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370638&adjacent=N&x=0&y=0&con_lng=jpn
'026370681',http://iss.ndl.go.jp/books/R100000002-I026370681-00,https://ndlopac.ndl.go.jp/pds?func=sso&url=https://ndlopac.ndl.go.jp/F?func=find-c&ccl_term=001+%3D+026370681&adjacent=N&x=0&y=0&con_lng=jpn
